,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_PaperlessBilling,account_Charges_Total,Cuentas_Diarias,internet_InternetService_DSL,internet_InternetService_Fiber optic,account_Contract_One year,account_Contract_Two year,account_PaymentMethod_Bank transfer (automatic),account_PaymentMethod_Credit card (automatic),account_PaymentMethod_Electronic check
0,False,False,False,True,True,9,True,False,False,True,False,True,True,False,True,593.3,2.1866666666666665,True,False,True,False,False,False,False
1,False,True,False,False,False,9,True,True,False,False,False,False,False,True,False,542.4,1.9966666666666666,True,False,False,False,False,False,False
2,True,True,False,False,False,4,True,False,False,False,True,False,False,False,True,280.85,2.4633333333333334,False,True,False,False,False,False,True
3,True,True,True,True,False,13,True,False,False,True,True,False,True,True,True,1237.85,3.2666666666666666,False,True,False,False,False,False,True
4,True,False,True,True,False,3,True,False,False,False,False,True,True,False,True,267.4,2.796666666666667,False,True,False,False,False,False,False
5,False,False,False,False,True,9,True,False,False,False,False,True,True,True,True,571.45,2.3133333333333335,True,False,False,False,False,True,False
6,False,False,True,True,False,71,True,False,True,True,True,True,True,True,True,7904.25,3.6566666666666667,False,True,False,True,True,False,False
7,False,True,False,True,False,63,True,True,True,False,False,True,False,False,True,5377.8,2.8216666666666668,False,True,False,True,False,True,False
8,False,False,True,False,False,7,True,False,True,False,False,False,False,False,True,340.35,1.6066666666666667,True,False,False,False,False,False,True
9,False,False,False,True,True,65,True,True,True,True,True,True,True,True,True,5957.9,3.015,True,False,False,True,False,False,False
10,False,True,False,False,False,54,False,False,True,False,False,True,True,False,False,2460.55,1.5066666666666668,True,False,False,True,False,True,False
11,False,False,False,True,True,72,True,True,True,True,True,True,True,True,True,8456.75,3.893333333333333,False,True,False,True,False,True,False
12,False,False,False,True,False,5,True,False,False,False,False,False,False,False,True,351.5,2.2983333333333333,False,True,False,False,False,False,True
13,False,False,False,False,False,72,True,True,True,True,True,False,True,False,True,7261.25,3.3766666666666665,False,True,False,True,True,False,False
14,False,False,False,False,False,56,False,False,True,True,True,True,False,False,False,2560.1,1.5016666666666665,True,False,False,True,True,False,False
15,False,False,False,True,True,71,True,True,False,True,True,False,False,True,True,6849.4,3.191666666666667,False,True,False,True,False,True,False
16,False,False,False,True,True,34,False,False,True,False,True,True,True,True,False,1993.2,2.0416666666666665,True,False,True,False,False,False,False
17,False,False,True,False,False,1,True,True,False,False,False,False,False,False,True,72.1,2.4033333333333333,False,True,False,False,False,False,True
18,True,True,True,False,False,45,True,False,True,False,True,False,False,True,False,2791.5,2.0900000000000003,True,False,True,False,False,True,False
19,True,True,True,False,False,1,False,False,False,False,False,False,False,False,True,25.1,0.8366666666666667,True,False,False,False,False,False,True
20,False,False,True,True,False,50,True,True,False,False,False,False,False,False,False,1306.3,0.84,False,False,True,False,False,False,True
21,True,False,False,True,False,13,True,True,False,True,True,False,True,False,False,1215.6,3.1366666666666663,False,True,False,False,False,False,True
22,False,False,False,True,True,23,True,True,False,False,False,False,True,False,True,1849.95,2.7916666666666665,False,True,False,False,False,False,True
23,False,False,False,False,False,3,True,False,False,False,False,False,False,False,False,57.2,0.6616666666666667,False,False,False,False,False,False,False
24,True,False,False,True,True,4,True,False,False,False,False,False,False,False,False,76.35,0.6783333333333333,False,False,False,False,False,False,False
25,True,False,False,True,True,1,False,False,True,False,False,False,False,False,False,30.5,1.0166666666666666,True,False,False,False,True,False,False
26,False,False,False,True,True,55,True,False,False,True,True,True,True,True,True,5656.75,3.4566666666666666,False,True,True,False,True,False,False
27,False,True,False,True,True,54,True,False,False,False,False,False,False,False,False,1090.6,0.6799999999999999,False,False,False,True,False,True,False
28,False,True,False,False,False,26,True,False,False,False,False,False,False,False,True,471.85,0.6533333333333334,False,False,True,False,True,False,False
29,False,False,False,True,True,69,True,False,False,False,False,False,False,False,False,1396.9,0.6566666666666666,False,False,False,True,True,False,False
30,True,False,False,False,False,11,True,True,True,False,False,False,False,False,True,929.3,2.6333333333333333,False,True,False,False,True,False,False
31,False,True,False,True,True,37,True,False,False,False,False,False,True,True,False,3247.55,3.04,False,True,True,False,False,True,False
32,False,False,False,True,False,49,True,False,False,False,False,False,False,False,False,900.9,0.6816666666666666,False,False,True,False,True,False,False
33,False,True,False,True,False,66,True,True,True,True,True,True,True,True,False,7942.15,3.86,False,True,True,False,True,False,False
34,False,False,False,False,False,67,True,False,False,False,False,False,False,False,False,1343.4,0.685,False,False,True,False,False,False,True
35,False,True,False,True,True,20,False,False,True,False,True,True,False,False,True,825.4,1.3133333333333332,True,False,False,True,False,True,False
36,False,False,False,False,True,43,True,True,False,False,False,False,False,False,True,1070.15,0.8366666666666667,False,False,False,True,False,False,True
37,False,False,False,True,False,55,True,True,True,False,False,False,True,False,True,4959.6,2.993333333333333,False,True,False,False,True,False,False
38,False,False,False,True,False,59,True,True,True,True,False,False,True,False,True,5597.65,3.158333333333333,False,True,False,False,False,False,True
39,False,False,False,True,True,12,True,False,False,False,False,False,False,False,False,224.5,0.6766666666666666,False,False,False,True,True,False,False
40,False,True,False,True,True,27,True,True,False,False,False,False,False,False,True,1929.0,2.525,False,True,False,False,True,False,False
41,True,True,True,False,False,2,True,False,True,False,False,False,False,False,True,91.1,1.6416666666666666,True,False,False,False,False,False,True
42,False,False,False,False,False,27,True,False,False,True,True,True,True,True,False,2078.95,2.606666666666667,True,False,True,False,False,False,False
43,False,True,False,True,True,25,True,True,False,False,False,False,False,False,False,630.6,0.85,False,False,False,True,False,True,False
44,False,True,False,True,True,25,True,False,True,True,True,False,False,False,True,1611.0,2.0533333333333332,True,False,True,False,True,False,False
45,False,True,False,False,True,29,False,False,True,True,True,True,False,False,True,1242.45,1.5,True,False,False,False,False,False,False
46,False,True,False,True,False,72,True,True,False,True,True,True,True,True,True,6316.2,2.8383333333333334,True,False,False,True,True,False,False
47,False,False,False,False,False,14,True,False,False,True,False,False,False,False,False,727.85,1.715,True,False,True,False,False,True,False
48,False,False,False,False,False,35,True,False,False,False,True,True,True,True,True,3532.0,3.308333333333333,False,True,True,False,False,False,True
49,False,True,False,False,False,1,True,False,False,False,False,False,False,False,True,44.3,1.4766666666666666,True,False,False,False,False,False,False
50,False,True,False,False,False,29,True,False,False,False,False,True,True,True,True,2607.6,3.14,False,True,False,False,False,False,True
51,False,True,False,False,False,64,True,True,True,True,True,True,True,False,False,5567.55,2.7083333333333335,True,False,True,False,False,False,True
52,False,False,False,True,True,39,True,True,False,False,False,True,True,True,True,3767.4,3.3316666666666666,False,True,False,False,False,True,False
53,False,False,True,False,False,40,True,False,False,False,False,False,True,True,True,3673.6,3.0516666666666667,False,True,False,False,False,False,True
54,True,True,False,False,False,40,True,True,False,True,True,False,True,True,True,4036.85,3.4833333333333334,False,True,False,False,False,True,False
55,True,False,True,False,False,11,True,False,False,True,False,False,True,True,True,1120.3,3.1666666666666665,False,True,False,False,False,False,True
56,False,False,False,True,False,6,True,True,False,False,False,False,False,False,False,314.55,1.6783333333333335,True,False,False,False,False,False,True
57,False,True,False,False,False,30,True,True,True,False,False,False,False,True,True,1888.45,2.15,True,False,False,False,False,False,False
58,False,True,False,False,False,27,True,False,False,False,False,False,False,False,True,529.8,0.6466666666666666,False,False,False,False,False,False,True
59,False,True,True,True,False,70,True,True,False,True,True,False,True,True,True,7308.95,3.493333333333333,False,True,True,False,False,False,True
60,False,False,False,True,False,57,True,True,False,True,True,True,True,True,True,6252.7,3.646666666666667,False,True,True,False,True,False,False
61,False,True,False,True,False,58,True,False,False,False,True,False,False,False,False,2878.55,1.6766666666666665,True,False,True,False,False,True,False
62,False,True,False,False,False,16,True,True,False,True,True,False,False,True,True,1212.1,2.3800000000000003,True,False,False,False,True,False,False
63,False,False,False,True,False,69,True,True,True,True,True,True,True,True,True,8182.85,3.8666666666666667,False,True,False,True,False,False,True
64,True,True,False,False,False,1,True,False,False,False,False,False,False,False,True,19.85,0.6616666666666667,False,False,False,False,False,False,True
65,True,True,False,False,True,1,True,True,False,False,True,False,True,True,True,99.75,3.325,False,True,False,False,False,False,True
66,False,True,True,True,True,32,True,False,False,True,False,False,True,True,True,2861.45,3.131666666666667,False,True,False,False,False,False,False
67,False,True,False,True,True,16,True,True,False,False,True,False,True,False,True,1442.2,3.0266666666666664,False,True,False,False,True,False,False
